,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
429,India's air passenger traffic to touch 1 billion: Hardeep Singh Puri,Kanpur train accident was conspiracy from across the border: PM Narendra Modi,"'27,482 cyber security incidents reported in H1 2017'",Assam orders enquiry into Jawan's death in CM residence,Facebook's Zuckerberg vows to help prevent repeat of Cleveland murder posting,Bail for three accused of pelting stones on August 9,"1,001 jailed in Delhi for drunk driving, 44 for over 10 days",ISIS could regain capacity to orchestrate attacks in 2021: UN official
430,Airtel pips Jio on 4G data traffic share gains: CLSA,Who is responsible for railway accidents: Congress to PM Narendra Modi,Shooting incident outside British Parliament: BBC,"Upper castes 'do not have much option’, feels BJP",CBI starts manhunt for second suspect in journalist's murder,CBI to probe Unnao Rape survivor’s accident; BJP MLA Sengar booked,The future e-car that beats traffic,Saudi TV: Yemen rebel attack on airport sets plane on fire
431,Degrees of desperation for traffic brigade job,Hirakhand Express derailment: NIA team inspects accident site,UK police officer knifed in 'terrorist incident' in Parliament,NEET: Tamil Nadu erupts in protest over Dalit girl's suicide,Death for two in Jigisha Ghosh murder case,Maharashtra CM Fadnavis criticises HC for remarks against his govt,"Rs 1,000 fine if you don't carry car insurance in Delhi",UN experts: North Korea using cyber attacks to update nukes
432,"Maruti caught in traffic, shared mobility",Pakistan's ISI may have engineered train accidents to avenge surgical strikes,Ramjas College incident: Court asks video's genuineness,Dera Sacha Sauda's 'suicide squad' a major concern for cops,"Samajwadi Party leader's nephew murdered, triggers protests",BJP worker's killing: Cong leader gets anticipatory bail,Google tests cars that drive by itself,Saudi-led coalition says intercepted Houthi armed drone attack
433,A new committee to see how Bengalore's traffic mess can be undone,"Poor, young worst hit in accidents, reveals report",Kansas shooting incident disturbing: White House,Aim to double farmers' income by 2022 to tackle suicides: Government to Supreme Court,Jigisha murder case: Court convicts three men,MPs with criminal cases on the rise: ADR,Google testing cars that drives by itself,6 hurt in grenade attack in J&K's Pulwama
434,Kundalahalli gate may see smooth traffic in a year,Bhagat Singh's grandson died in road accident,Hope incidents like Amazon-tricolour are not repeated: India,Blue Whale: Delhi High Court expresses concern over children's suicide,BJP and CPM responsible for recent political murders: UDF,"83 % Lok Sabha MPs are 'crorepatis', 33 % have criminal cases: ADR report","Cars, bombs, and climate change",Mayawati begins new year with attack on BJP govt
435,Chinese hackers are still actively targeting Indian port in shadow war: US Firm,"VVIP chopper deal: Christian Michel had access to confidential info on transaction, says CBI",No specific data on lynching: Centre,SC dismisses Republic plea seeking quashing of all FIRs,Burari family began preparing 10 days before hanging: Police,Is Facebook really ready for the 2020 US election?,"IPS officer jailed for cheating in UPSC, wife arrested in Hyderabad",Death toll rises to 50 from blasts near Afghan girls' school
436,Is the Mumbai blackout last year connected to the Ladakh standoff?,Economic Survey 2019: Zero train collisions reported in 2018-19,Insurgency incidents have come down in Northeast: Home minister Rajnath Singh,Plea in SC seeks CBI submit status report in Sushant Singh death case,We won't be silenced: Karnataka reformists allegedly on the hit list of Hindutva groups,"View: Stop crying wolf over democracy, enjoy the quality of sheep’s clothing",Chennai: Heavens open & hell is here,"'I'm good', says former Maldives president Nasheed after surviving bomb blast"
437,Farmers to block KMP Expressway on Saturday: Samyukta Kisan Morcha leader,AAI counters AAIB’s report on lapse of ATCO’s ratings,Terror incidents down by 25 per cent after surgical strikes: Government,SC refuses to entertain plea of ARG Outlier Media seeking protection in cases lodged in Maharashtra,"Raise security for Girish Karnad, 3 others on hit list: SIT",German foreign minister threatens sanctions over Alexei Navalny poisoning,"Need to learn formula of safe, clean travel from Japan: Shiv Sena","16 soldiers killed, one missing in Niger ambush: Official"
438,COVID-19 vaccination: Over 80% of Delhi Police personnel inoculated,Fire damages submarine at Mumbai yard,Army orders inquiry into Qazigund firing incident,,Three killed as gangs fire at each other in north Delhi,"View: On Independence Day, it is up to Us, the People, to uphold what the freedom movement strove for",NGT raps AAP government for killing people under hill of garbage,France draws up bill on surveillance of jihadist websites
439,Left-Congress-ISF alliance to kick off Bengal campaign with mega Kolkata rally,"From Jan 1, IRDAI allows unbundling of compulsory personal accident cover in motor policies",69 Naxal violence incidents till June: Government,Farmers protesting against new agri laws will stay put at UP Gate border: BKU,Son of witness in Asaram case 'abducted'; returns home,View: Will Tejashwi Yadav's 'sorry' be enough to heal scars of RJD's 'misdeeds' of the 90's,"How Khatauli joined hands to save lives, provide succour",Mamata's advice to gherao central forces instigated people to attack CISF in Sitalkuchi: Amit Shah
440,India to supply four more mobile harbour cranes to Iran's Chabahar port,Boundary walls to be raised at accident-prone spots along rail tracks: RPF DG,Paying 'close attention' to incident of missing IAF jet: China,Congress MP Karti Chidambaram flays 'hero worship' of Rajiv Gandhi assassination convicts,P Chidambaram questioned by CBI for nearly 4 hours in INX media case,Relief to Daniel Pearl’s killer couldn’t have come without Pakistan government nod,"'Grateful to god' that they're alive, survivors recount horror","What triggered Bengal poll booth violence? Sources say 'attack on CISF QRT, injury to child'"
441,Bharat bandh: Services that could be affected today,Why you should buy a separate personal accident insurance policy even if provided by employer,Army orders Court of Inquiry into Kashmir 'human shield' incident,"Maha Vikas Aghadi govt 'natural', will stay on: Sanjay Raut","From Pratibha Patil to Queen Elizabeth, when leaders granted pardon",Delhi court acquits 30 people in 35-year-old transistor bomb blasts case,"In a first, chopper patrol to manage traffic",Bengal polls: 4 killed as central forces open fire after coming under attack
442,RJD chief Tejashwi Yadav reaches Bihar assembly driving a tractor,"Singer Nitin Bali, who shot to fame in the 90s, passes away in Mumbai road accident",Will water woes fuel a ‘Cold Rush’?,"My govt stable, allies will contest polls together: Thackeray",Murder mystery on ‘Nirav’ sparkles atop Amazon’s bestseller list after PNB scam news,Delhi violence: Deadly protests rock the national capital,"From Toyota to General Motors, what’s driving the global vehicle recall?","‘Just a tablet’. With a new ad mocking iPad Pro, Microsoft launches another attack on Apple"
443,"Delhi police chief holds review meet on law & order, crime situation",IIT-Hyderabad develops Artificial Intelligence to catch bikers without helmets,Two tribal families join TMC in Purulia,"Devendra Fadnavis  latches on to SC, HC verdicts to target Maharashtra govt",Murder and alleged rape of eight-year-old Kathua girl shake J&K,Gujarat: Congress corporator among 49 held for 'attack' on cops during anti-CAA protest,21 highly successful people who rebounded after getting fired,"BJP men forcibly occupying booths, attacking TMC activists and candidates: Mamata Banerjee"
444,"Delhi schools, colleges top list of buildings with high particulate matter concentration: IIT study",IIT Roorkee develops inflatable safety helmet for motor-cyclists,Mind your language: It’s silly season,"Maharashtra: A year on, Uddhav Thackeray firmly in the saddle","Akhilesh Yadav made UP No.1 in murder, loot: Amit Shah",NHRC begins on-the-spot probe into Hyderabad encounter killings amid raging debate on police action,IRDA plans to free up motor third-party rates,Three held for attacking truck carrying reserve EVMs in Assam's 2nd phase of polling
445,"MHA denies permission to 600 Sikh pilgrims planning to visit Pak; cites security, COVID situation there",Revisit India's most horrific train accident that killed over 500 people 'today',India demands legal action from UK against perpetrators and instigators of National flag incident,"Pulwama attack mastermind's aide conspired terror attacks across India, NIA tells court",Indian techie's murder very unfortunate: US Embassy official,Mayawati urges Supreme Court to take cognizance of rising incidents of crime against women,"Will Anand Mahindra's forays into clean energy, electric cars benefit the group over long term?","Chhattisgarh Naxal attack: 21 securitymen killed, 1 missing; Jawans ambushed by 400 Maoists"
446,International passenger capacity for India reduced by 89 per cent in April due to COVID-19: UN,"Stop 'nautanki', Yogi Adityanath tells those protesting deaths of 13 kids","777 incidents of infiltration into J&K in 2 years, 94 terrorists killed: Govt",Mental health may hurt India to tune of $1.03 trillion; here's a dose for cos,Congress rejects PM Modi's charge of murder bid on Mulayam Singh Yadav,"Lawyers-police clash: Delhi HC issues notice to Centre, city police chief, chief secretary",Five insurance covers you should have,Chhattisgarh naxal attack: Home Minister Amit Shah holds high-level security meeting
447,View: Invest in fibre network to support data consumption upswing during Covid pandemic,"School van collides with train in UP, 13 students killed",Both Hamilton and Vettel are keen to put the Baku incident behind them,"Lanka suicide bombers visited Kashmir, Kerala for 'some sorts of training':  Sri Lanka Army chief",Sarabjit murder trial: Arrest warrant issued against Pakistan jail official,Uproar over Jaganmohan government’s order to sue media houses,Daimler AG to hire 800 in India for boosting R&D operations,Chhattisgarh Naxal attack: Maoists were armed with light machine guns; looted weapons of security personnel
448,North Central Railway zone officers start helpline to help in delivery of essential items,"Petitioner in Ishrat case dies in Kerala car crash, probe on",Assam CM takes up Delhi golf club incident with Kiren Rijiju,"Father, two brothers of Sri Lanka suicide bombings mastermind killed in gun battle",Infosys attempts to calm employees following murder at its Pune campus,Kashmiri shopkeeper’s killing: Hizbul Mujahideen on radar,"Diesel, CNG and LPG cars: Low on fuel cost, but high on insurance premium",Process of setting up security camps in remote areas to be speeded up: CRPF DG after Naxal attack
449,India's air passenger traffic grows 3.6 per cent in Oct; pace slower than seen in 2018: IATA,"Thirty, including 27 children, killed as school bus plunges into gorge",Golf Club incident clear case of racial discrimination: Kiren Rijiju,"9 suicide bombers, including woman took part in Easter Sunday bombings in Lanka: Police","Sadhvi Pragya, seven others acquitted in Sunil Joshi murder case",IAF chopper in Budgam crashed on Feb 27 after hit by Indian missile: probe report,Getting third-party insurance cover against road accidents tedious and time-consuming,Naxal attack: HM Amit Shah speaks to Chhattisgarh CM; directs CRPF DG to visit state
450,"Soon, car insurance premium may depend on how you drive","Vehicles of President, VP to soon have number plates: Delhi High Court told",Sunny Leone wants to 'live life to the fullest' after near-crash incident,"Wife, sister of Shangri La Hotel bomber killed in separate suicide blast: Lanka police",Infosys techie from Kerala murdered in Pune office; security guard nabbed,CBI forms additional team to probe Unnao rape survivor's car accident,Factors that could determine the premium you pay on car insurance,"Sangh teaches to attack, non-violent satyagraha makes farmers fearless: Rahul Gandhi"
451,President gives assent to Motor Vehicles Bill,Pubs out of residential areas in Delhi master plan,"Tax incidence will increase under GST: Rakesh Biyani, Future Retail",Soldier shoots dead two colleagues and commits suicide in Himachal Pradesh,Murdered MLA’s wife blasts Mayawati for fielding Mukhtar Ansari,Kuldeep Sengar 'expelled' but no confirmation from BJP,Don't let car cover skid on rain-hit path,Jammu and Kashmir police planning to revamp security cover of leaders vulnerable to militant attacks: Official
452,Govt approves Motor Bill; steep penalties for traffic offences proposed,Woman gets Rs 7.87 lakh claim for husband's death in accident,Amit Shah lauds Major involved in human shield incident,Suicide attack in Balochistan wake-up call for China and Pakistan,Qandeel murder case takes new turn as father changes statement,"Why people like Sengar are given protection of political power, asks Priyanka Gandhi",Make your own car at Meerut auto scrapyard in just four weeks,"Militants attack security forces, CRPF personnel injured in Jammu & Kashmir's Chanapora"
453,"Speeding on Noida roads will cost you Rs 2,000",Young Marathi actor Praful Bhalerao killed in train accident,"Alwar lynching sparks political row, no such incident happened: Mukhtar Abbas Naqvi","Centre opposes release of Rajiv Gandhi case convicts, says it will set dangerous precedents",Six CPI(M) workers arrested for BJP worker's murder,Unnao Road accident: Rape accused BJP MLA named in FIR,How to lower your car insurance premium,Mumbai attack accused Tahawwur Rana opposes extradition to India
454,Domestic air traffic sees negative growth on Jet Airways grounding: Icra,586 train accidents in last 5 years; 53 per cent due to derailments,Rajya Sabha tells Centre to probe Alwar lynching incident,Burari deaths: Delhi Police asks CBI to conduct psychological autopsy,"BJP worker murdered, bomb hurled at RSS office in Kerala",Guv Sathasivam seeks report from Kerala University vice-chancellor on seizure of answer sheets from SFI leader's house,"Toyota recalls 94,000 cars due to brake fault",US oil pushes ‘clean shale’ as Biden mounts climate attack
455,Domestic air traffic fell in April for the first time in 6 years,Nearly 53% rail accidents due to derailments: Government,Faf du Plessis surprised at no ICC action in DRS incident,Burari family began preparing 10 days before hanging: Police,"Indrani,Peter Mukerjea charged with murder in Sheena Bora case",Malegaon blast case: Pragya Thakur gets day's exemption from appearance for ill health,Honda recalls Brazil compact cars for pedal woes,Four soldiers injured in grenade attack by militants in Jammu and Kashmir's Anantnag
456,A plan to extend Bengaluru Metro's reach is on anvil,India led in train accidents in the world,"Rape case: such incidents happen, says Maha minister","Burari deaths: Post-mortem over, 8 victims showed no signs of struggle",Bihar police arrest five in journalist murder case,Sadhvi Prachi stopped from visiting Aligarh; security beefed up in Tappal,Bentley recalling 820 cars worldwide to replace ornament,CRPF man killed in Pulwama attack gets President's police medal for gallantry
457,Pune to soon be first city in country to see a traffic robot on its roads,Union minister Manoj Sinha injured in road accident in UP,2 killed in as many incidents of communal violence in Aligarh,Two students held for plotting to kill HCU VC to avenge Vemula's suicide: Police,CBI to probe claims of murder of A Raja's aide,Malegaon blast: Pragya's plea for exemption from appearance rejected,"Toyota recalls Lexus cars in Japan, US to follow",Saudi-led forces thwart air attack on Riyadh: Saudi TV
458,"Poor air quality: EPCA lashes out at authorities over traffic congestion, garbage burning",AAP's victory in Delhi was an accident: MP BJP chief Nandkumar Singh Chouhan,Three structures gutted in separate incidents of fire in Kashmir,Suicide bomber kills 26 in Kabul attack: Officials,Teni Yadav surrenders in Aditya Sachdeva murder case,Can you keep a person in jail forever: Delhi HC,Japan to review car recall system: Reports,Capitol attack reflects America's extremist evolution over the past few decades
459,Maharashtra chief minister's official cars violated traffic rules 13 times,India loses $58 billion annually due to road accidents: UN study,133 fire-related incidents reported in Delhi on Diwali,BJP MP Nana Patole flays Maharashtra government over tardy farm loan waiver,BJP demands CBI inquiry into Siwan journalist murder,​15th Raj Assembly has 46 MLAs with criminal cases: ADR,"Toyota to recall 43,000 cars in China ",Saudi-led forces say thwart two attacks by Yemen's Houthis
460,Maratha agitation: Traffic disrupted on Mumbai-Bengaluru highway near Satara,Train accident: Some injured mysteriously get scrapped cash,9 killed in rain-related incidents in Marathwada,1271 farmers committed suicide in 30 months in Chhattisgarh: Minister,"Bihar MLC's absconding son, wanted for murder, arrested",Prosecution demands death for convicts in 1984 anti-sikh riots case,It pays to drive around for best car insurance,The presidential election is over; Donald Trump's attacks will linger
461,Traffic on Jammu-Srinagar national highway suspended; thousands stranded,IVRCL dubs Kolkata flyover collapse as an 'accident',F1 governing body to investigate marshal incident,"Opposition targets government over agrarian crisis, farmers' suicide",Rahul Gandhi to meet family of murdered Dalit girl,SC dismisses plea seeking recusal of judges of bench in Manipur fake encounter cases,Chola MS joins car insurance bandwagon,Supreme Court rejects Republican attack on Biden victory
462,Bengaluru traffic consultancy does copy-paste of 2015 road accident report,"One killed, three injured in Bengaluru accident",Lalu Prasad questions PM's silence on Una incident,Compensation for farmers suicide can't deal with farm debt: Supreme Court,Police hopes to solve Tanzil Ahmed murder soon,Shashi Tharoor’s defamation notice mischievous: Ravi Shankar Prasad,BMW developing cars that 'sense' danger to pedestrians,Rahul Gandhi attacks government over farm incomes
463,Mumbai rains: Four dead in 24 hours; traffic and trains severely affected,Fatal accidents rise on Yamuna Expressway,Arvind Kejriwal to visit Gujarat in the wake of Una incident,Former Tata Finance top executive Dilip Pendse commits suicide,Somnath Bharti chargesheeted for attempt to murder in DV case,Some of the chilling attacks in covert operations around the world,EU opens the way for 'cars that talk',Graffiti in support of terror groups surfaces in Mangaluru on anniversary of Mumbai attack
464,Normal life affected in Odisha due to 6-hour Congress bandh against fuel price rise,J&K Police forms SIT to probe killing of advocate Babar Qadri,CISF jawan kills 4 superiors in deadly fragging incident,ED arrests alleged associate of Shiv Sena MLA in money laundering case,"Purulia death: Three weeks after BJP worker Dulal Kumar’s body found, police lodges fresh murder case",Honeymoon over? Saudi Arabia-U.S. ties face reset with Biden win,Police suspect Kodanad killers may have searched for Jayalalithaa's will,"Yemen's Houthis fire drone at Saudi military base, says spokesman"
465,"PM Modi launches several crores worth projects in TN, says they are symbols of innovation, development",BJP is engaged in doing politics over the National Register of Citizens and creating confusion: Assam Congress,Navy vows strict action against personnel for INS Betwa incident,"UP govt's focus only on 'jihad', 'Ram Naam Satya': Akhilesh",SC to hear Kathua witnesses plea alleging police harassment on May 16,"The strange, sometimes sinister conspiracy theories on Sushant Singh Rajput’s death that flourished on social media","Men barge into BJP MP Manoj Tiwari's house, thrash staffers",CIA head William Burns said to have made unannounced trip to Afghanistan
466,India tops the world with 11% of global death in road accidents: World Bank report,Gas filled balloons explode during PM Modi's birthday fete in Tamil Nadu,India wants to know when will its daughters get justice: Rahul Gandhi,Assault case: Republic TV editor Arnab Goswami's pre-arrest bail plea hearing on December 1,Cabinet note soon to protect minor boys from abuse,Atlanta police chief resigns after fatal police shooting,"Drunk drives truck into crowd in Andhra Pradesh, 15 dead",Pulwama encounter: Two militants involved in attack on BJP leader's house among three killed
467,"Road accident scenario more 'dangerous' than coronavirus in India, says Nitin Gadkari",SpiceJet plane veers off runway on landing; pilots suspended,"PNB fraud a one-off incident, not a systemic failure: Keki Mistry, HDFC",SC extends parole of Rajiv Gandhi assassination convict for medical check up,Bakerwals are losing their way of life to barbed wire,Ajit Jogi: Quintessential politician who never gave up,Lok Sabha approves Motor Vehicle Amendment Bill,"Prime Minister Modi attacks Didi in West Bengal, makes development pitches in Assam"
468,"India accounts for 10% of global road crash victims, says new World Bank road safety report",Car insurance premium up sharply: Compulsory personal accident cover hiked to Rs 15 lakh,Army kids move NHRC against stone-pelting at personnel,TN governor to decide on remission to convict in Rajiv Gandhi assassination case: CBI to SC,Blackmail racket: How women turn it into ‘biz’,View: Shutdowns kill too. Let biz get back on track,Lok Sabha passes Motor Vehicles Amendment Bill,UP Chief Minister Yogi Adityanath attacks LDF and UDF for not bringing legislation against 'Love Jihad'
469,Extend GST compensation period else Karnataka will become revenue deficit state: Congress MP,Noted Kerala violinist Balabhaskar injured in car accident; 2-year-old daughter passes away,Shopian incident: BJP MLA protests FIR against Army men in J&K Assembly,Tamil Nadu bans online gaming involving betting,"Kathua rape case is 'small issue', says new J&K Deputy CM Kavinder Gupta","UP hostage crisis ends after 8 hours, captor & his wife dead",How Africans are battling deep-rooted prejudices and biases in India,"Bengal polls: Mamata visits booths amid reports of jamming, Suvendu's convoy attacked"
470,"Singhu border: Farmers improve facilities, infrastructure to prepare for prolonged protest",Uninsured vehicle owners should pay accident-compensation else vehicle to be auctioned: SC,Congress asks PM Narendra Modi to address Haryana rape incidents in 'Mann Ki Baat',Priyanka Gandhi slams Yogi Adityanath's government over issue of women's safety,"Polluted air is not only unhealthy, may also lead to increase in crime",Nirbhaya case: SC to hear plea of one of four death row convicts against dismissal of mercy plea,"Keep getting threat calls, says man behind SC ban on liquor vends",NIA court jails Pakistani LeT terrorist for ten years for conspiring to attack India
471,‘Laundering’ of CSR Funds: ED adjudicating authority confirms attachment of properties of Deepak Talwar worth Rs 70 crore,'40 deaths in 75 accidents since Sept 2017: Railways' records best safety figures in 5 years',Kamala Mills fire incident has shaken our conscience: Bombay High Court,"View: Bihar as a basket case study of Congress’s terminal decline, and lessons from Biden's win",Jammu and Kashmir cabinet reshuffle on April 30: Nirmal Singh,View: Why the protests remind us of Gandhi’s Khilafat movement,"2012 Maruti factory violence case: Gurgaon court convicts 31, acquits 117",Chidambaram attacks Centre for abstaining from voting on UNHRC resolution against Sri Lanka
472,Road accident scenario 'more serious' in India than COVID-19 with 415 deaths daily: Nitin Gadkari,"Accidents, suicides, ailments kill 1,600 soldiers every year",Stone-pelting incidents have come down in J-K: Govt tells Rajya Sabha,"Destination Kolkata: After Bihar, BJP shifts its focus to West Bengal","Miracles, supernatural tales kept Asaram’s cult going",DGCA wants action against unruly AI passengers,Police control room to keep an eye on hoysala staff,"Highways Ministry asks NHAI, automakers to tighten IT security after cyber attack threats"
473,Nitish Kumar launches Rs 5540 crore project which aims to make Patna hospital world class,'Y' category security detail not enough: Manoj Tiwari to Rajnath Singh,India conveys 'deep concerns' to US over recent incidents,Plea in SC seeks initiation of criminal contempt proceedings against Kunal Kamra,"Sadvi Pragya in Surat, Aseemanand in West Bengal: changing templates of Hindutva polity",Decoding Eric Cantona's 'confusing' speech at UEFA ceremony,CBI investigates Amarmani Tripathi's son for allegedly murdering his wife,"Modi attacks Congress at Assam poll rally, says NDA ensured peace and development"
474,"AIADMK goes to police again against Sasikala, alleges conspiracy to unleash violence in TN",We will launch light helmets to combat fakes: Nitin Gadkari,Govt probing Jet Airways tail strike incident at Dhaka airport,Don't intend to retract or apologise for tweets: Kunal Kamra on consent for contempt proceedings against him  ,"Kathua case: Supreme Court asks J-K govt to protect victim's kin, lawyer","Priyanka Gandhi asks PM Modi to divest rape accused MLA, his brother of political power",Prohibition promoting communal harmony in Bihar: Nitish Kumar,Congress party supported toolkit which attacked India’s tea and yoga: PM Modi
475,"Farmers block key highways in Punjab, Haryana, Raj during 'chakka jam'; Scattered demonstrations in other states",Chopper crash: Voice data recorder traced,McDonald’s Kolkata says 'investigating' lizard incident,"Land row: Sanjay Raut slams BJP, says it will be in opposition for 25 years",Hope authorities bring Kathua rape perpetrators to justice: UN,Seeds of Sonbhadra row were sown in 1952,"The Agra-Lucknow Expressway has been inaugurated but don’t try driving on it, not yet","'Metroman' E Sreedharan comes under attack from Left over images of voters washing, touching his feet"
476,"'Chakka jam' on KMP Expressway: Protest songs, tricolor and polite request to commuters",Bed and breakfast plan is a cruel joke on hotel staff,US Embassy strongly condemns shooting incident in which Indian killed,8 major death cases which are not covered in term life insurance,Unnao victim’s father won't have died if complaint to CM was acted upon: Allahabad HC,"Kathua rape case: Slip-ups, ATM footage help Jangotra, one of the co-accused, walk free",Gopinath Munde's death case: Court refuses to discharge accused driver,U.S. VP Harris says Asian Americans have been attacked and scapegoated
477,"'Chakka jam': Farmers in Punjab, Haryana block roads",Rs 18 lakh crore: What India could gain by cutting road deaths,Carter returns to NZ for holiday after drink-driving incident,CEOs seek emotional anchors against stress,Ryan murder case: CBI opposes bail plea of 16-year-old accused,"Former Biju Janata Dal minister, Pradeep Maharathy arrested and sent to jail for attacking an election flying squad",Hasten slowly on GST; its a one way trip,Rahul Gandhi attacks govt for not paying tributes to farmers who died during protest
478,Security upped at Delhi borders as farmers set to hold 'chakka jam',Why knowing a building's nearest exit point is a must,"Wrath of cyber crime: Over 50,300 incidents observed in 2016",The last straw: The two top reasons that may've driven Siddhartha to take the extreme step,CBI investigates Amarmani Tripathi's son for allegedly murdering his wife,Modi following Hilter's tactics to grab power: Arvind Kejriwal,Patel pitched against Patel in UP Polls,Mumbai's new top cop Hemant Nagarale had played key role during 26/11 attacks
479,"Modi in Bengal, Assam on Sunday to inaugurate, lay foundations of development projects",Mumbai fire: Maimoon residential building blaze kills four,DG Shipping probing Chennai oil spill incident: Coast Guard,Islamic State claims Easter Sunday blasts in Sri Lanka; identifies 7 suicide bombers,"Sheena murder: Indrani schemer and manipulator, says secret witness",Karnataka political turmoil: Youth Congress workers protest outside Haryana resort,Why a section of Kerala's Muslim youth is treading a radical path,BJP workers on way to Suvendu Adhikari's rally in Khejuri attacked
480,Farmers' chakka jam: Delhi Police tightens security at border points near protest sites,Railway accidents decreased from 85 in 2016 to 49 this year: Government,"Cahill has moved on from Mason incident, says Conte",Sri Lanka identifies outfit behind blasts; says all suicide bombers Lankan nationals,Why no murder case against government over demonetisation deaths: Congress,US strikes kill top al-Qaeda plotter of USS Cole bombing in Yemen: Pentagon,Move over Tesla: Google is now a carmaker,Trump brand tarnished after bruising presidency and Capitol attack
481,Prime Minister Narendra Modi to visit Assam's Dhekiajuli on February 7: Sarbananda Sonowal,Insurance company to pay even if accident not in India: High Court,"Soccer-Cahill has moved on from Mason incident, says Conte",World Suicide Prevention Day: How to keep young ones safe from dark side of the web,Sheena Bora murder: Peter Mukerjea's bail plea rejected by HC,Situation returning to normal in Bulandshahr: ADG,Your parking slot could decide motor cover cost,Opposition attacks Nitish government over IndiGo employee’s murder
482,"BMC unveils Rs 39,038 crore budget, keeps tax structure unchanged",Train accidents down by 40 per cent: Railway board chairman,Jan Shatabdi incident: Intelligence agencies informed; cops quiz few people,Counting begins in knife-edge Pakistani elections marred by suicide bomb,"Murders of BJP, RSS workers should not be politicised: Praveen Togadia",Beed DSP faces probe for casteist remarks,What of road safety? Is the finance minister bothered?,Capitol assault a more sinister attack than first appeared
483,"V K Sasikala to return on February 7, T T V Dhinakaran sees changes in Tamil Nadu ahead of arrival",Railways dismal safety record scarred again by four accidents in 12 hours,Communal incidents have declined under Modi government: Mukhtar Abbas Naqvi,"Delhi: 11 members of a family found dead in Burari, investigation on",NDA partners deplore murder of democracy in Uttarakhand: Congress,"Why court gave death to 1 convict, life term to other","Toyota to recall 136,000 cars over steering fault",26/11 attack: India awaits Pakistan response on witness testimony
484,"Student, youth activists gather at Mandi House for march in support of protesting farmers",Supreme Court lays down norms for computation of accident claim,Very important lessons learnt from Devyani Khobragade incident: Obama administration,"Voting for BJP is nothing less than suicide, Rahul Gandhi tells Tripura voters",President's Rule in Uttarakhand is a murder of democracy: Congress,Maneka Gandhi lashes out at Maharashtra government over killing of tigress Avni,Nissan recalls two million cars over faulty engine system,Pakistan should hold Lakhvi accountable for Mumbai attack: US
485,Snowfall disrupts flight operations in Kashmir,Here's how heavy drinking causes accidents,Bengaluru misses out on David Guetta concert after molestation incident,Bullied kids at higher risk of suicidal behaviour and anxiety,"Murder of democracy, says Congress on President's rule in Uttarakhand","Meet Sophie Hannah, the British crime writer","Toyota to recall 270,000 cars over engine fault","George Clooney condemns Capitol Hill attack, says it put Trump family 'into the dustbin of history'"
486,Airport heroes: staying away from families to handle rescue flights,Aviation accident rate fell in 2016: IATA,18 people killed due to cyclone Vardah related incidents in Tamil Nadu,Uma Bharti says thrust on irrigation will stop farm suicides,Akhilesh Yadav recommends CBI inquriy on youth's murder,1987 Hashimpura massacre case: Delhi HC sentences 16 ex-policemen to life imprisonment,"Toyota to 'voluntarily' repair over 22,000 compact cars",Pompeo says US not 'banana republic' after mob attacks Capitol
487,"For the love of writing: Brand2Life co-founder says he composes poems when stuck in traffic, helps him relieve stress",Two more attempts to derail trains prevented,"Corrupt practices by staff were isolated incidents: Shikha Sharma, Axis Bank",Two more farmers commit suicide in MP; seven in one week,Bangladesh arrests suspects in Hindu priest murder,Turkish president reveals how Saudis plotted Jamal Khashoggi's killing,"Toyota recalls 7,500 Land Cruiser, Lexus cars in Europe",Poison attack on me maybe due to my RISAT work: ISRO scientist
488,"India's air traffic growth has 'slowed significantly' in 2019, was 1.6 per cent in Sept: IATA",Home Minister Rajnath Singh speaks to AP CM on train derailment,Azamgarh incident example of SP's politics of appeasement: BJP,"Amarinder Singh urges farmers not to commit suicide, says government is there for them",Monster Monday: Six murders shock city,"Unnao rape case: Decision on MLA Kuldeep Singh Sengar soon, says BJP",GM says Woods doesn't get free cars anymore,UN envoy plans trip to Yemen and Saudi Arabia after Aden attack
489,"Air traffic volume picks up again, inches up 6.2 per cent in June",Manoj Sinha being shifted to AIIMS for surgery,Thrissur Pooram festival ends without any incident,HC rejects plea for FIR on Kalikho Pul's alleged suicide note,ISIS claims murder of top Hindu priest in Bangladesh,BJP functionary in Karnataka stabbed to death by duo on bike,PSU insurance cos pay Rs 4K cr a year to accident victims,45 more arrested over attack on Hindu temple in northwest Pakistan
490,AAI counters AAIB’s report on lapse of ATCO’s ratings,Accidents kill more in India than epidemics: Nitin Gadkari,Indian-origin student killed in shooting incident in US,Person who commits suicide cannot be a martyr: Delhi High Court,CBI questions Chhota Rajan in Jyotirmoy Dey murder,TADA court extends Dawood aide Farooq Takla's CBI custody till March 28,Vibrant car colour? Get ready to shell out higher premium on cover,"Sourav Ganguly suffers 'mild' heart attack, undergoes angioplasty"
491,Bengaluru's elevated corridor will choke in 5 years: IISc study,Forensic staff reach crime scene by bus. That's no accident,"Patiala court incident was ""orchestrated"" by police: Manish Sisodia",Amity University student from Telangana commits suicide,Murder of democracy: Opposition attacks Prez rule in Arunachal,J&K police lodges FIR against Army personnel on Shopian deaths,First-party car cover to undergo major changes,"Israelis pay respects to victims of 26/11 Mumbai attacks, demand justice for them"
